Dayna	31 year old bisexual geek/nerd with wanderlust. warnings: comic book lover. writer. wrestling addict. nerd...	0,0	Check out my broadcast from my PlayStation 4! #PS4live (Diablo III: Reaper of Souls  Ultimate Evil Edi...)  live at https://t.co/BRPsx89oVj	Twitch
Jellita	Always be humble persone	0,0	RT @WWE: Catch @BeckyLynchWWE on the #Billions season premiere TONIGHT at 9/8c on @Showtime!@SHO_Billions	null
	<no bio>	0,0	drunk n high at the same time	null
 	 10/18  '    .       SC Reina_varela	0,0	RT @TheRaveStop: Rick&Morty GiveawaySince new episodes drop tonight were giving away one of our Rick&Morty mouth masks! (Winners choic	null
Mia	Just your local trans dragon husky! (19) 18+. minors are blocked! (she/her) pfp: @YeenrWeenr banner: @lTo_mil	0,0	RT @lemdraws: almost 2 months into stay-at-home orders playing nothing but animal crossing for 10+ hrs a day https://t.co/drp9oxUF8f	lem  on Twitter: almost 2 months into stay-at-home orders playing nothing but animal crossing for 10+ hrs a day 
 NinjaPatriot 	#Trump #KAG #wwg1wga #MAGA #AmericaFirst #QAnon #storm #patriot #constitution #1A #prolife #military #draintheswamp #JesusIsLord #God #2A # #USNVeteran	0,0	RT @Jordan_Sather_: For all of the Police Officers out there. you dont HAVE to enforce Draconian laws that corrupt politicians want you	null
MAMAS	planting my own garden.	0,0	RT @Jay_Dee714: This dog was ready to press the issue. fuck you looking at??? 	null
sham	#TAEHYUNG: my suga has really pretty teeth	0,0	i just think blaming everything on solo stans is getting boring at this point... not everyone who goes against ur agenda is a solo stan	null
Andrew Hopper 	 Rave and repeat  Bonnaroovian  PLUR   ILLENIAL  Zooks Promoter	0,0	RT @Griz: May is mental health awareness month and also my birthday month! In that light. every Tuesday at 7 pm est I will be guiding var	null
amelia	 I love you too calum hood. sept. 24. 2018 4:33pm	0,0	So it is 6:37 pm on May 3rd & at 5:30 am on May 4th. I get induced & we meet our baby girl.	null
Bansi Sharma	Never ascribe to malice what can easily be explained by incompetence.Ad hominem attackers will be instantly blocked.	0,0	@Neoavatara Mike Bloomberg will be way better. but I don't know if he would be willing. However. my gut tells me he could be persuaded. I am also assuming if Joe Biden is the nominee and by some miracle actually wins. his VP will serve as president for at least a few years.	null
Lamz	-What do you want?I don't think I'll ever know.	0,0	RT @hoodheaIer: if you break the lockdown rules by going to a restaurant or a pub tomorrow bc they're open after you spent 2 months at home	null
DAYE	-250-NDIDI HIVE!-@SpursOfficial x @FCBayern x @Raptors-JIGGA! || CERTIFIED DRIP INVIGILATOR	0,0	@SAMUELOLUFEMI_ Never said he would be Future chap. But if you look at all the Super Slimey kids. Gunna is easily the best out of all of them. Most features and his word tracks the best easily. Keed is acc interesting. Baby got a horrible voice and I stand by what I said.	null
ianny	Engenharia de Energias Renovveis	0,0	RT @Chinohoven: White people really treating the stay at home orders like its their own version of the civil rights movement  they ar	null
Sean Mills 	I am dyspunctional. I like cats. I put the twit in Twitter. He/him/his.	0,0	RT @RadioFreeTom: Trump now saying that he was told on January 23 that there could be a virus coming but that it wouldnt be a big deal. He	null
Sandi Logan	One-eyed oldtimer (ice) hockey player. Seen a few things. Met a few people. Still wonder why ...	0,0	RT @drvox: Trump told Parscale that he did not believe the polling that had been presented to him. even though it came from the campaign a	null
Sabz 		0,0	RT @Chinkzxxx: Asalaamu Alaykum guys. if you could just take a look at the link attached and donate if you can please https://t.co/L642i7EM	null
	#MATTY: ceo of being fucking vibey | fan acc	0,0	@ItsJustHedy would take either at this point 	null
StayWoke & Vote	If your vote wasn't valuable then why does the GOP keep trying to steal it #Resist Exercise your franchise	0,0	RT @thedailybeast: One of those struggling with opioid addiction is Lynn. an Ohio resident. She hadnt used opioids for three months. unt	null
Tanest Publishing	Publishing quality.  New series called Yzella just starting.  Find and enjoy.	0,0	RT @TomFitton: Where is the DOJ? Im Not Playing: Chicago Mayor Threatens Citations And Arrests For People Ignoring Stay-At-Home Orders h	null
Gary	MtG Player // Communist // Wage Slave // Cancer Survivor // Luv @LusciousLopunny	0,0	RT @FredTJoseph: Years ago. I peacefully protested the murder of Eric Garner. As we walked past officers I looked at one and he said Giv	null
Lola	Canada News Lifestyle & Culture Travel World News Holidays Fun Arts	0,0	RT @GeorgeTakei: I'm starting a rumor on the Breitbart chats that Covid-19 turns you gay. That should keep a lot of these idiots at home.	null
MeeksAZ 	Old lady with 2 cats.  Ex-Medic U.S.A.F. MAGA. KAGA. Trump 2020  Conservative!WWG1WGA.  NO DMs	0,0	@CthulhuRules @4YrsToday Are the Dems going to sit back and let who they voted for in the primary be cast aside. At their DNC convention will they be told by the DNC officials who the candidate will be if not Biden? DNC delaying the convention so as not to give you a choice?	null
Chris Storey	<no bio>	0,0	@ibmrdan @dbongino Sorry none of this is directed at the gentleman at hand in the article. I dont put him in this class at all.	null
JL	Simplification. not Complication...	0,0	RT @charliekirk11: BOOM:Despite constant negative coverageDespite endless Democrat liesDespite a global pandemicPresident Trumps a	null
Zweiback Group. LLC	<no bio>	0,0	Weather in Washington. DC at 11:38 PM is 57.7F	null
liquid swords	OU19 BSW / Graduate Student	0,0	RT @notavatarcmoney: Yall at home safely sitting on yall asses. not doing shit. They can twerk and have fun for 5 seconds Greg. Jesus Chr	null
Kel	Its Mikal pronounced my-kel ~Friends call me kel  ~Umes c/o 22 	0,0	RT @Smoke_nd_Pearls: Love love LOVE seeing black children being spoiled 	null
Brian Hyuga	<no bio>	0,0	RT @Chinohoven: White people really treating the stay at home orders like its their own version of the civil rights movement  they ar	null
J.F.T.R.	Sticks and Stones may break bones but words cause permanent damage	0,0	@BwHick76 @dubyacbub @TheMrWickedPod @KevinMcP34 Your name is Kevin isnt a creative response to someone being a douchebag.  At least you called me a knuckle dragger. youre doing better already.	null
Alexis R.	. Virgo . 26. Haitian Bajan & Sicilian	0,0	RT @Jay_Dee714: This dog was ready to press the issue. fuck you looking at??? 	null
LaceyLovesLiterature	<no bio>	0,0	2- The Rich Boy by @KylieScottbooks A very sweet love-at-first-sight book. I especially loved the family dynamics. I want the sisters second-chance romance story please. (3/6)	null
Kennedi		0,0	RT @hourlytaejin: are we looking at taehyungs smile when jin intertwines their hands together https://t.co/69WQgcv6aL	 hourly  on Twitter: are we looking at taehyungs smile when jin intertwines their hands together 
ali	<no bio>	0,0	everyone said to get Seasons but Im so good at listening I got Island Living instead... it makes sense	null
Scotty.	Rt Hon. Sir Maggie Smith. lipstick lesbian with a face for masks and a body for a bag.    (he/him)	0,0	@killerma I sometimes think I persuaded myself at to young an age that I was fully gay. I experimented a lot in my teens. but always under some kind of influence. Think I'd like to try dating a woman. But not for 'experimentation' that would feel to much like abusing someones trust	null
Lucy	#MAGA Pro Israe  Wife Grandmother  ChristianConservative. Pro life	0,0	RT @GordonGChang: #China's refusal to allow an investigation into her lab undermines the credibility of her flat denial. #coronavirus #Wuhan	null
Bys	A safe space for Mesut zil	0,0	RT @Sakpo007: @theresnosignall Wizkid performing SOCO at Burna's SSE Wembley #NS10v10 https://t.co/Ekyjy9njXI	 on Twitter: 11/3: Wizkid performing SOCO with Burna Boy at The SSE Arena. Wembley in London. #TheAfricanGiantUKArenaTour 
Benjamin Rose	COYG	0,0	RT @meenaharris: Meanwhile black men like @Kaepernick7 are terrorized by that group AND by law enforcement. simply for existing. Interestin	null
Toolsy Fielder	Tommy Marlow (1909-1969) #AmWriting One of Grays Harbor's finest prospects for organized baseball... - Morning Oregonian (November 14. 1929)	0,0	*fervent Ayn Rand reader confused by outcome of hardening attitudes brought and fostered by newly arrived self-centered white supremacist immigrants like Ayn Rand*	null
TrueNemesisPrime	I'm now a variety streamer but I mainly stream Battlefield V on Xbox one and MK11 on PS4.  Other than that. welcome and enjoy the stream. until' all are one.	0,0	Check out my broadcast from my PlayStation 4! #PS4live (FINAL FANTASY VII REMAKE)  live at https://t.co/O1CBdBauuR	Twitch
Quon	SC:Bron_Gotti   The Marathon Continues 	0,0	RT @BackwoodPhill: Me at 3am trying to figure out whats wrong with me https://t.co/6ojAgpJs9F	Backwood Phil on Twitter: Me at 3am trying to figure out whats wrong with me 
